Wed Mar  4 02:30:01 PST 2020 | Wed Mar  4 10:30:01 UTC 2020 | Designated #2
Wed Mar  4 03:30:01 PST 2020 | Wed Mar  4 11:30:01 UTC 2020 | Designated #2
Wed Mar  4 05:30:01 PST 2020 | Wed Mar  4 13:30:01 UTC 2020 | Designated #2
Thu Mar  5 02:30:01 PST 2020 | Thu Mar  5 10:30:01 UTC 2020 | Designated #2
Thu Mar  5 03:30:01 PST 2020 | Thu Mar  5 11:30:01 UTC 2020 | Designated #2
Thu Mar  5 05:30:01 PST 2020 | Thu Mar  5 13:30:01 UTC 2020 | Designated #2
Fri Mar  6 02:30:02 PST 2020 | Fri Mar  6 10:30:02 UTC 2020 | Designated #2
Fri Mar  6 03:30:01 PST 2020 | Fri Mar  6 11:30:01 UTC 2020 | Designated #2
Fri Mar  6 05:30:01 PST 2020 | Fri Mar  6 13:30:01 UTC 2020 | Designated #2
Sat Mar  7 02:30:01 PST 2020 | Sat Mar  7 10:30:01 UTC 2020 | Designated #2
Sat Mar  7 03:30:01 PST 2020 | Sat Mar  7 11:30:01 UTC 2020 | Designated #2
Sat Mar  7 05:30:01 PST 2020 | Sat Mar  7 13:30:01 UTC 2020 | Designated #2
Sun Mar  8 03:00:01 PDT 2020 | Sun Mar  8 10:00:01 UTC 2020 | Designated #2
Sun Mar  8 03:30:01 PDT 2020 | Sun Mar  8 10:30:01 UTC 2020 | Designated #2
Sun Mar  8 05:30:01 PDT 2020 | Sun Mar  8 12:30:01 UTC 2020 | Designated #2
Mon Mar  9 02:30:01 PDT 2020 | Mon Mar  9 09:30:01 UTC 2020 | Designated #2
Mon Mar  9 03:30:01 PDT 2020 | Mon Mar  9 10:30:01 UTC 2020 | Designated #2
Mon Mar  9 05:30:01 PDT 2020 | Mon Mar  9 12:30:01 UTC 2020 | Designated #2
