Wed Mar  4 02:30:01 PST 2020 | Wed Mar  4 10:30:01 UTC 2020 | Designated #4
Wed Mar  4 04:30:01 PST 2020 | Wed Mar  4 12:30:01 UTC 2020 | Designated #4
Wed Mar  4 05:30:01 PST 2020 | Wed Mar  4 13:30:01 UTC 2020 | Designated #4
Thu Mar  5 02:30:01 PST 2020 | Thu Mar  5 10:30:01 UTC 2020 | Designated #4
Thu Mar  5 04:30:01 PST 2020 | Thu Mar  5 12:30:01 UTC 2020 | Designated #4
Thu Mar  5 05:30:01 PST 2020 | Thu Mar  5 13:30:01 UTC 2020 | Designated #4
Fri Mar  6 02:30:02 PST 2020 | Fri Mar  6 10:30:02 UTC 2020 | Designated #4
Fri Mar  6 04:30:01 PST 2020 | Fri Mar  6 12:30:01 UTC 2020 | Designated #4
Fri Mar  6 05:30:01 PST 2020 | Fri Mar  6 13:30:01 UTC 2020 | Designated #4
Sat Mar  7 02:30:01 PST 2020 | Sat Mar  7 10:30:01 UTC 2020 | Designated #4
Sat Mar  7 04:30:01 PST 2020 | Sat Mar  7 12:30:01 UTC 2020 | Designated #4
Sat Mar  7 05:30:01 PST 2020 | Sat Mar  7 13:30:01 UTC 2020 | Designated #4
Sun Mar  8 03:00:01 PDT 2020 | Sun Mar  8 10:00:01 UTC 2020 | Designated #4
Sun Mar  8 04:30:01 PDT 2020 | Sun Mar  8 11:30:01 UTC 2020 | Designated #4
Sun Mar  8 05:30:01 PDT 2020 | Sun Mar  8 12:30:01 UTC 2020 | Designated #4
Mon Mar  9 02:30:01 PDT 2020 | Mon Mar  9 09:30:01 UTC 2020 | Designated #4
Mon Mar  9 04:30:01 PDT 2020 | Mon Mar  9 11:30:01 UTC 2020 | Designated #4
Mon Mar  9 05:30:01 PDT 2020 | Mon Mar  9 12:30:01 UTC 2020 | Designated #4
